sample_set,from,to,presence
3_2,brown sugar,mouth-drying,0
3_2,brown sugar,mushroom,0
3_2,brown sugar,dusty,0
3_2,brown sugar,off-flavors,0
3_2,brown sugar,resin,0
3_2,brown sugar,peach,1
3_2,brown sugar,over ripe,1
3_2,brown sugar,brown sugar,1
3_2,brown sugar,floral,0
3_2,brown sugar,dark wood,0
3_2,brown sugar,tobacco,0
3_2,brown sugar,light wood,0
3_2,brown sugar,spices,0
3_2,brown sugar,umami,0
3_2,brown sugar,savory,0
3_2,floral,bitterness,0
3_2,floral,mouth-drying,0
3_2,floral,mushroom,0
3_2,floral,dusty,0
3_2,floral,off-flavors,0
3_2,floral,resin,0
3_2,floral,peach,0
3_2,floral,over ripe,0
3_2,floral,brown sugar,0
3_2,floral,floral,1
3_2,floral,dark wood,1
3_2,floral,tobacco,1
3_2,floral,light wood,1
3_2,floral,spices,1
3_2,floral,umami,1
3_2,floral,savory,1
3_2,dark wood,bitterness,0
3_2,dark wood,mouth-drying,0
3_2,dark wood,mushroom,0
3_2,dark wood,dusty,0
3_2,dark wood,off-flavors,0
3_2,dark wood,resin,0
3_2,dark wood,peach,0
3_2,dark wood,over ripe,0
3_2,dark wood,brown sugar,0
3_2,dark wood,floral,1
3_2,dark wood,dark wood,1
3_2,dark wood,tobacco,1
3_2,dark wood,light wood,1
3_2,dark wood,spices,1
3_2,dark wood,umami,1
3_2,dark wood,savory,1
3_2,tobacco,bitterness,0
3_2,tobacco,mouth-drying,0
3_2,tobacco,mushroom,0
3_2,tobacco,dusty,0
3_2,tobacco,off-flavors,0
3_2,tobacco,resin,0
3_2,tobacco,peach,0
3_2,tobacco,over ripe,0
3_2,tobacco,brown sugar,0
3_2,tobacco,floral,1
3_2,tobacco,dark wood,1
3_2,tobacco,tobacco,1
3_2,tobacco,light wood,1
3_2,tobacco,spices,1
3_2,tobacco,umami,1
3_2,tobacco,savory,1
3_2,light wood,bitterness,0
3_2,light wood,mouth-drying,0
3_2,light wood,mushroom,0
3_2,light wood,dusty,0
3_2,light wood,off-flavors,0
3_2,light wood,resin,0
3_2,light wood,peach,0
3_2,light wood,over ripe,0
3_2,light wood,brown sugar,0
3_2,light wood,floral,1
3_2,light wood,dark wood,1
3_2,light wood,tobacco,1
